full_text,Label,text,predicted_label
"['st', 'of', 'al', 'boston', 'anjing', 'sebel', 'belagu', 'sangat', 'giliran', 'ulti', 'sama', 'mew', 'ciut', 'lo', 'muntah']",NoBully, st of al boston anjing sebel belagu sangat giliran ulti sama mew ciut lo muntah ,Bully
"['semoga', 'dikasih', 'mimpi', 'dikejar', 'anjing']",Bully, semoga dikasih mimpi dikejar anjing ,Bully
"['tulis', 'aja', 'langsung', 'anak', 'arab', 'anjing', 'banget', 'lo', 'ngespil', 'gitu', 'aja', 'monyet']",Bully, tulis aja langsung anak arab anjing banget lo ngespil gitu aja monyet ,Bully
"['sapa', 'nk', 'dgr', 'salakan', 'raja', 'anjing', 'bangsat', 'gila', 'sb', 'dedak', 'babi', 'nk', 'abis', 'pukimak', 'kau', 'sial']",Bully, sapa nk dgr salakan raja anjing bangsat gila sb dedak babi nk abis pukimak kau sial ,Bully
"['cina', 'anjing']",Bully, cina anjing ,Bully
"['gue', 'muter', 'muter', 'kayak', 'org', 'tolol', 'anjing', 'kayaknye', 'efek', 'earing']",Bully, gue muter muter kayak org tolol anjing kayaknye efek earing ,Bully
"['bangsat', 'anjing', 'bilang', 'aja', 'lo', 'tidak', 'belikan', 'gue']",Bully, bangsat anjing bilang aja lo tidak belikan gue ,Bully
['anjing'],Bully, anjing ,Bully
"['anjing', 'gue', 'cemburu']",Bully, anjing gue cemburu ,Bully
"['gue', 'wanti', 'wanti', 'banget', 'ya', 'anjing', 'biar', 'tidak', 'brengsek', 'gue', 'kena', 'kontol']",Bully, gue wanti wanti banget ya anjing biar tidak brengsek gue kena kontol ,Bully
"['tingal', 'dibersihkan', 'salah', 'si', 'anjing']",Bully, tingal dibersihkan salah si anjing ,Bully
"['gebrakan', 'gue', 'bangun', 'anjing']",Bully, gebrakan gue bangun anjing ,Bully
"['uninstal', 'monopolygo', 'sbelum', 'kecoh', 'israel', 'koyak', 'spin', 'event', 'kek', 'bodoh', 'itu', 'deal', 'bnyak', 'ciput', 'dadu', 'habis', 'anjing', 'punye', 'game']",Bully, uninstal monopolygo sbelum kecoh israel koyak spin event kek bodoh itu deal bnyak ciput dadu habis anjing punye game ,Bully
"['pas', 'yang', 'otomatis', 'ngomong', 'anjing', 'bangsat']",Bully, pas yang otomatis ngomong anjing bangsat ,Bully
"['sumpah', 'lucu', 'banget', 'anjing', 'hahahahahaha']",Bully, sumpah lucu banget anjing hahahahahaha ,Bully
"['result', 'brazil', 'night', 'pols', 'mingu', 'september', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'jp', 'salam', 'jp', 'jabartoto']",Bully, result brazil night pols mingu september shio anjing silahkan isi form withdraw jp salam jp jabartoto ,Bully
"['kaget', 'anjir', 'mantan', 'buka', 'pintu', 'kost', 'cuman', 'pakai', 'cd', 'anjing']",Bully, kaget anjir mantan buka pintu kost cuman pakai cd anjing ,Bully
"['gila', 'gue', 'kek', 'mama', 'muda', 'jam', 'anjing', 'gue', 'nangis', 'gara', 'kedinginan']",Bully, gila gue kek mama muda jam anjing gue nangis gara kedinginan ,Bully
"['konyol', 'anjing', 'lo', 'hidup', 'bareng', 'badut', 'it', 'aja', 'anjir', 'ketawa']",Bully, konyol anjing lo hidup bareng badut it aja anjir ketawa ,Bully
"['gabisa', 'anjing', 'gue', 'gabisa']",Bully, gabisa anjing gue gabisa ,Bully
"['result', 'cambodia', 'night', 'pols', 'mingu', 'september', 'shio', 'anjing', 'silahkan', 'isi', 'form', 'withdraw', 'jp', 'salam', 'jp', 'jabartoto']",Bully, result cambodia night pols mingu september shio anjing silahkan isi form withdraw jp salam jp jabartoto ,Bully
"['fuck', 'anjing', 'hahahahahah']",Bully, fuck anjing hahahahahah ,Bully
"['alah', 'tuh', 'adil', 'kadang', 'yang', 'hina', 'mata', 'manusia', 'berbeda', 'mata', 'alah', 'pelacur', 'yang', 'masuk', 'surga', 'gegara', 'minum', 'anjing', 'meningal', 'tidak', 'tau', 'ending', 'orang', 'hakim', 'saudaramu']",Bully, alah tuh adil kadang yang hina mata manusia berbeda mata alah pelacur yang masuk surga gegara minum anjing meningal tidak tau ending orang hakim saudaramu ,Bully
"['anjing', 'ketemu', 'renjun', 'bangsat']",Bully, anjing ketemu renjun bangsat ,Bully
"['gue', 'jg', 'anjing']",Bully, gue jg anjing ,Bully
"['anjing', 'gue']",Bully, anjing gue ,Bully
"['galang', 'anjing', 'babi', 'bangsat', 'tai', 'kucing', 'lo', 'galang', 'anjing', 'gue', 'doain', 'tuh', 'kontol', 'tidak', 'muncrat', 'tai']",Bully, galang anjing babi bangsat tai kucing lo galang anjing gue doain tuh kontol tidak muncrat tai ,Bully
"['lo', 'mendingan', 'kawin', 'anjing', 'aja', 'dah', 'anaknya', 'mengongong', 'tidak', 'nangis']",NoBully, lo mendingan kawin anjing aja dah anaknya mengongong tidak nangis ,Bully
"['anjing', 'gue', 'udah', 'kaget']",Bully, anjing gue udah kaget ,Bully
"['gada', 'yang', 'peduli', 'anjing']",Bully, gada yang peduli anjing ,Bully
"['anjing', 'karina', 'secakep', 'smlm']",Bully, anjing karina secakep smlm ,Bully
"['aduh', 'gue', 'stuck', 'bermenit', 'menit', 'pedih', 'lo', 'suka', 'banget', 'yak', 'sampai', 'berjuang', 'segitunya', 'lo', 'bego', 'sih', 'huhuhu', 'anjing', 'gue', 'aja', 'tidak', 'gue', 'burik', 'kak', 'part']",Bully, aduh gue stuck bermenit menit pedih lo suka banget yak sampai berjuang segitunya lo bego sih huhuhu anjing gue aja tidak gue burik kak part ,Bully
"['prediksi', 'togel', 'sydney', 'september', 'angka', 'main', 'colok', 'bebas', 'd', 'amp', 'top', 'd', 'top', 'd', 'top', 'd', 'shio', 'anjing', 'angka', 'twins', 'web', 'prediksi', 'flokitoto']",Bully, prediksi togel sydney september angka main colok bebas d amp top d top d top d shio anjing angka twins web prediksi flokitoto ,Bully
"['obatku', 'anjing', 'gede']",Bully, obatku anjing gede ,Bully
"['bulan', 'menhilang', 'dateng', 'bginila', 'hukum', 'alam', 'pergi', 'dasar', 'anjing', 'uda', 'capek', 'ma', 'tulus', 'stia', 'mala', 'hilang', 'pas', 'dateng', 'dgn', 'ucpan', 'manis', 'nya', 'anjing', 'uda', 'enak', 'jomblo', 'kesepian', 'orang', 'yang', 'tingalkan', 'saya', 'mnyesal']",Bully, bulan menhilang dateng bginila hukum alam pergi dasar anjing uda capek ma tulus stia mala hilang pas dateng dgn ucpan manis nya anjing uda enak jomblo kesepian orang yang tingalkan saya mnyesal ,Bully
"['brengsek', 'lo', 'miya', 'gue', 'nangis', 'pagi', 'pagi', 'anjing']",Bully, brengsek lo miya gue nangis pagi pagi anjing ,Bully
['anjing'],Bully, anjing ,Bully
"['anjing', 'gue', 'cape', 'cinta', 'sendri', 'gue', 'males', 'orng', 'gue', 'kesel', 'sumpah', 'gue', 'bete', 'prh', 'anjh']",Bully, anjing gue cape cinta sendri gue males orng gue kesel sumpah gue bete prh anjh ,Bully
"['anjing', 'ketawa', 'banget']",Bully, anjing ketawa banget ,Bully
"['tai', 'anjing']",Bully, tai anjing ,Bully
"['parah', 'anjing', 'parah', 'no']",Bully, parah anjing parah no ,Bully
"['terjerat', 'jaring', 'bayi', 'anjing', 'laut', 'diselamatkan', 'afsel']",Bully, terjerat jaring bayi anjing laut diselamatkan afsel ,Bully
"['tau', 'anjing', 'ya']",Bully, tau anjing ya ,Bully
"['tanyarl', 'tuh', 'namanya', 'nasi', 'kucing', 'tidak', 'pakai', 'daging', 'kucing', 'kalau', 'jual', 'nmanya', 'nasi', 'anjing', 'tidak', 'si', 'nama', 'aja', 'tidak', 'pakai', 'daging', 'anjing', 'beneran']",Bully, tanyarl tuh namanya nasi kucing tidak pakai daging kucing kalau jual nmanya nasi anjing tidak si nama aja tidak pakai daging anjing beneran ,Bully
"['bodoh', 'tolol', 'anjing', 'bangsat', 'goblok', 'diriku', 'kpd', 'diriku']",Bully, bodoh tolol anjing bangsat goblok diriku kpd diriku ,Bully
"['juta', 'sebulan', 'beli', 'kopi', 'doang', 'anjing', 'pantes', 'miskin']",Bully, juta sebulan beli kopi doang anjing pantes miskin ,Bully
"['emang', 'anjing', 'sadar', 'kh', 'u']",NoBully, emang anjing sadar kh u ,Bully
"['kontol', 'lo', 'anjing', 'bangsat', 'gue', 'belom', 'cair', 'tip', 'cepu', 'goblok']",Bully, kontol lo anjing bangsat gue belom cair tip cepu goblok ,Bully
"['wekwan', 'anjing', 'emang']",Bully, wekwan anjing emang ,Bully
"['bangsat', 'ijo', 'anjing', 'gausah', 'klakson', 'tidak', 'motor', 'belajar', 'anjing', 'tolol', 'bahayain', 'orang', 'anjing', 'rausah', 'ngebut', 'cok', 'berisik', 'knalpot', 'jamet', 'kabupaten', 'polisi', 'tidur', 'segede', 'dah', 'ya', 'alah', 'sih', 'orang', 'orang', 'bego', 'kaya', 'begini', 'dikasih', 'motor']",NoBully, bangsat ijo anjing gausah klakson tidak motor belajar anjing tolol bahayain orang anjing rausah ngebut cok berisik knalpot jamet kabupaten polisi tidur segede dah ya alah sih orang orang bego kaya begini dikasih motor ,Bully
"['anjing', 'banget', 'mingu', 'gampang', 'banget', 'bangun', 'pagi', 'giliran', 'kerja', 'susah', 'banget', 'ampun']",Bully, anjing banget mingu gampang banget bangun pagi giliran kerja susah banget ampun ,Bully
"['anjing', 'lo', 'hisung', 'cemburu', 'kek']",Bully, anjing lo hisung cemburu kek ,Bully
"['kampret', 'gue', 'iri', 'banget', 'anjing']",Bully, kampret gue iri banget anjing ,Bully
"['gue', 'fokus', 'nonton', 'bngt', 'sampai', 'mikirin', 'd', 'anjing', 'gue', 'dag', 'dig', 'dug', 'ser']",Bully, gue fokus nonton bngt sampai mikirin d anjing gue dag dig dug ser ,Bully
"['anjing', 'kurap', 'lapar', 'ya']",Bully, anjing kurap lapar ya ,Bully
"['bacot', 'kamu', 'ngentot', 'kalau', 'panas', 'mah', 'panas', 'aja', 'anjing']",Bully, bacot kamu ngentot kalau panas mah panas aja anjing ,Bully
"['sicepat', 'benar', 'benar', 'ya', 'anjing', 'ekspedisi', 'sampah', 'dari', 'ekspedisi', 'indonesia', 'si', 'cepat', 'aja', 'yang', 'lemotnya', 'main', 'barangnya', 'keburu', 'dipake', 'eh', 'cris', 'cros', 'anjeng', 'anjeng']",Bully, sicepat benar benar ya anjing ekspedisi sampah dari ekspedisi indonesia si cepat aja yang lemotnya main barangnya keburu dipake eh cris cros anjeng anjeng ,Bully
"['minimal', 'nanya', 'goblok', 'kalau', 'gatau', 'bikin', 'indo', 'ban', 'lo', 'tolol', 'otak', 'tidak', 'pakai', 'komunitas', 'negara', 'india', 'mah', 'kompak', 'cepuin', 'negara', 'babi', 'gue', 'garap', 'round', 'kontol', 'lo', 'anjing']",NoBully, minimal nanya goblok kalau gatau bikin indo ban lo tolol otak tidak pakai komunitas negara india mah kompak cepuin negara babi gue garap round kontol lo anjing ,NoBully
"['babi', 'ketauan', 'anjing', 'ngesave', 'video', 'orang', 'tiktok']",Bully, babi ketauan anjing ngesave video orang tiktok ,Bully
"['mingu', 'lonte', 'anjing', 'jalang']",NoBully, mingu lonte anjing jalang ,Bully
"['jilat', 'sampai', 'daki', 'kuku', 'buzer', 'anjing', 'pemerintah', 'kasih', 'makan', 'anak', 'bini', 'lo', 'pakai', 'uang', 'panas']",Bully, jilat sampai daki kuku buzer anjing pemerintah kasih makan anak bini lo pakai uang panas ,Bully
"['nder', 'baca', 'misuh', 'pakai', 'hangeul', 'aja', 'kali', 'ya', 'asu', 'jancuk', 'anak', 'setan', 'tai', 'anjing', 'babi']",Bully, nder baca misuh pakai hangeul aja kali ya asu jancuk anak setan tai anjing babi ,Bully
"['mahluk', 'anjing']",Bully, mahluk anjing ,Bully
"['beliau', 'tipe', 'orang', 'kalau', 'orang', 'nuding', 'beliau', 'itu', 'beliau', 'bodo', 'sangat', 'kayak', 'anjing', 'mengongong', 'kafilah', 'kalau', 'sampai', 'nyentuh', 'anaknya', 'itu', 'lo', 'membangunkan', 'singa', 'tidur', 'keadan', 'udah', 'tidak', 'enak', 'banget', 'sampai', 'ditegur', 'ama', 'orang', 'tidak', 'suka', 'marah', 'kayak', 'beliau']",Bully, beliau tipe orang kalau orang nuding beliau itu beliau bodo sangat kayak anjing mengongong kafilah kalau sampai nyentuh anaknya itu lo membangunkan singa tidur keadan udah tidak enak banget sampai ditegur ama orang tidak suka marah kayak beliau ,Bully
"['emosi', 'emosi', 'banget', 'anjing']",Bully, emosi emosi banget anjing ,Bully
"['anjing', 'jujur', 'aku', 'kaget', 'banget', 'bacanya']",Bully, anjing jujur aku kaget banget bacanya ,Bully
"['oalah', 'anjing', 'gajadi', 'cover']",Bully, oalah anjing gajadi cover ,Bully
"['anjing', 'gue', 'bangun', 'semalem', 'sama', 'anak', 'gc', 'ngomongin', 'spil', 'something', 'sama', 'pakin', 'satang', 'tidak', 'nyangka', 'lgsg', 'kabulin', 'sialan', 'ngomongin', 'ciuman', 'gemfot']",Bully, anjing gue bangun semalem sama anak gc ngomongin spil something sama pakin satang tidak nyangka lgsg kabulin sialan ngomongin ciuman gemfot ,Bully
"['tidak', 'anjing', 'becanda', 'doang']",Bully, tidak anjing becanda doang ,Bully
"['wkwk', 'keluarga', 'anjing']",Bully, wkwk keluarga anjing ,Bully
"['orang', 'kalau', 'ditempel', 'dideketin', 'hewan', 'kayak', 'kucing', 'anjing', 'random', 'aura', 'positif', 'auraku', 'positif', 'hm']",Bully, orang kalau ditempel dideketin hewan kayak kucing anjing random aura positif auraku positif hm ,Bully
"['piara', 'anjing', 'husky']",Bully, piara anjing husky ,Bully
"['kamu', 'itu', 'lucu', 'tapi', 'kaya', 'anjing']",Bully, kamu itu lucu tapi kaya anjing ,Bully
"['gara', 'gara', 'celeng', 'bikin', 'garis', 'senaknya', 'anjing', 'masuk']",Bully, gara gara celeng bikin garis senaknya anjing masuk ,Bully
"['wkwk', 'kalau', 'ngejarnya', 'anjing', 'takut']",Bully, wkwk kalau ngejarnya anjing takut ,Bully
"['jla', 'anjing', 'jla', 'plis', 'bru', 'inget', 'kalau', 'nge', 'an', 'fol', 'kapi', 'rak', 'sih', 'mergo', 'kapi', 'rak', 'polbek', 'n', 'now']",Bully, jla anjing jla plis bru inget kalau nge an fol kapi rak sih mergo kapi rak polbek n now ,Bully
"['intel', 'anjing', 'bangsat', 'tai', 'babi', 'provokasi', 'busuk']",Bully, intel anjing bangsat tai babi provokasi busuk ,Bully
"['keluarga', 'elu', 'anjing', 'kafir', 'monyet']",NoBully, keluarga elu anjing kafir monyet ,Bully
"['prediksi', 'togel', 'leds', 'september', 'angka', 'main', 'colok', 'bebas', 'd', 'amp', 'top', 'd', 'top', 'd', 'top', 'd', 'shio', 'anjing', 'angka', 'twins', 'web', 'prediksi', 'flokitoto']",Bully, prediksi togel leds september angka main colok bebas d amp top d top d top d shio anjing angka twins web prediksi flokitoto ,Bully
['anjing'],Bully, anjing ,Bully
"['orang', 'tua', 'kalau', 'udah', 'puber', 'anjing', 'banget']",Bully, orang tua kalau udah puber anjing banget ,Bully
"['alegri', 'anjing']",Bully, alegri anjing ,Bully
"['bentukan', 'jijel', 'jeno', 'anjing', 'gila', 'memang', 'perfect', 'body', 'banget']",Bully, bentukan jijel jeno anjing gila memang perfect body banget ,Bully
"['anjing', 'adam', 'gue', 'kesel', 'lo', 'plis', 'semoga', 'mimpinya', 'jefa', 'doang', 'sumpah', 'kesel', 'banget', 'adam', 'pdahal', 'gue', 'lo', 'njir', 'info', 'tampol', 'adam', 'gue', 'kesel', 'nangis']",Bully, anjing adam gue kesel lo plis semoga mimpinya jefa doang sumpah kesel banget adam pdahal gue lo njir info tampol adam gue kesel nangis ,Bully
"['hapy', 'birthday', 'beautiful', 'anjing', 'hapy', 'birthday', 'anji']",Bully, hapy birthday beautiful anjing hapy birthday anji ,Bully
"['iqbal', 'anjing']",Bully, iqbal anjing ,Bully
"['prediksi', 'togel', 'dewata', 'pols', 'september', 'angka', 'main', 'colok', 'bebas', 'd', 'amp', 'top', 'd', 'top', 'd', 'top', 'd', 'shio', 'anjing', 'angka', 'twins', 'web', 'prediksi', 'flokitoto']",Bully, prediksi togel dewata pols september angka main colok bebas d amp top d top d top d shio anjing angka twins web prediksi flokitoto ,Bully
"['hahahah', 'real', 'anjing']",Bully, hahahah real anjing ,Bully
"['mimpi', 'bu', 'etik', 'ngerjain', 'matematika', 'kelas', 'bangun', 'langsung', 'lemes', 'anjing']",Bully, mimpi bu etik ngerjain matematika kelas bangun langsung lemes anjing ,Bully
"['gapapa', 'gue', 'hapy', 'banget', 'anjing', 'gue', 'gaboleh', 'sedih', 'pokonya']",Bully, gapapa gue hapy banget anjing gue gaboleh sedih pokonya ,Bully
"['wkwkwk', 'ketawa', 'banget', 'anjing', 'aja', 'ngatain', 'jm', 'masuk', 'trending', 'tidak', 'shiper', 'hadah', 'makan', 'noh', 'trending']",Bully, wkwkwk ketawa banget anjing aja ngatain jm masuk trending tidak shiper hadah makan noh trending ,Bully
"['please', 'gue', 'cape', 'cape', 'banget', 'anjing', 'bangsat', 'tai', 'babi', 'monyet']",Bully, please gue cape cape banget anjing bangsat tai babi monyet ,Bully
"['napa', 'si', 'babi', 'ovt', 'cewe']",NoBully, napa si babi ovt cewe ,Bully
"['babi', 'tidak', 'sopan', 'sopanya', 'lo']",NoBully, babi tidak sopan sopanya lo ,Bully
"['pen', 'culik', 'firfir', 'narak', 'mak']",Bully, pen culik firfir narak mak ,Bully
"['minum', 'susu', 'babi']",Bully, minum susu babi ,Bully
"['omg', 'jwjwkwkask']",Bully, omg jwjwkwkask ,Bully
"['sumpah', 'anjing', 'temen', 'slowrespon', 'banget', 'babi']",NoBully, sumpah anjing temen slowrespon banget babi ,Bully
"['uang', 'hiburan', 'babi']",Bully, uang hiburan babi ,Bully
"['that', 's', 'yah', 'ketahuan', 'babi']",Bully, that s yah ketahuan babi ,Bully
"['fuck', 'yu', 'alternator', 'itu', 'ganyampe', 'knock', 'sampai', 'low', 'aja', 'swehit', 'hit', 'pas', 'reload', 'sampah', 'babi']",Bully, fuck yu alternator itu ganyampe knock sampai low aja swehit hit pas reload sampah babi ,Bully
"['nak', 'tgk', 'tidak', 'babi']",Bully, nak tgk tidak babi ,Bully
"['wkwkwkwk', 'gapapa', 'star', 'tidak', 'kuat', 'bzir', 'copelius', 'babi']",Bully, wkwkwkwk gapapa star tidak kuat bzir copelius babi ,Bully
"['gondo', 'sama', 'babi', 'lt']",NoBully, gondo sama babi lt ,Bully
"['hbd', 'cize']",Bully, hbd cize ,Bully
"['fans', 'faen', 'read', 'gun', 'atp', 'jujur', 'ngerasa', 'seneng', 'banget', 'babi', 'berasa', 'dihargai', 'banget', 'ofjum', 'bawa', 'babi', 'makasih', 'ya', 'ofjum', 'udah', 'inget', 'babi', 'amp', 'menghargai', 'keberadan', 'babi']",Bully, fans faen read gun atp jujur ngerasa seneng banget babi berasa dihargai banget ofjum bawa babi makasih ya ofjum udah inget babi amp menghargai keberadan babi ,Bully
"['babi', 'semua']",Bully, babi semua ,Bully
"['penat', 'babi']",Bully, penat babi ,Bully
"['goblok', 'matamu', 'wes', 'sen', 'iki', 'loh', 'panas', 'banget', 'babi', 'gue', 'udah', 'mingir', 'anjing', 'mobil', 'klakson', 'dsri', 'huhu', 'tai', 'kena', 'jalan', 'berlubang', 'asu', 'nyapose', 'banter', 'banter', 'kabeh', 'ki', 'yalah', 'angine', 'banter', 'men', 'nyanyi', 'mobil', 'belajaran', 'ya', 'lo', 'silau', 'men']",Bully, goblok matamu wes sen iki loh panas banget babi gue udah mingir anjing mobil klakson dsri huhu tai kena jalan berlubang asu nyapose banter banter kabeh ki yalah angine banter men nyanyi mobil belajaran ya lo silau men ,Bully
"['babi', 'orang', 'orang', 'pacaran', 'real', 'gue', 'jg', 'mau']",Bully, babi orang orang pacaran real gue jg mau ,Bully
"['lo', 'babi', 'gahar']",NoBully, lo babi gahar ,Bully
"['congratulations', 'namu']",Bully, congratulations namu ,Bully
"['babi', 'lo', 'semua']",Bully, babi lo semua ,Bully
"['dimana', 'nya', 'kak']",Bully, dimana nya kak ,Bully
"['zona', 'dimana', 'kak', 'plaza', 'tengara', 'iya']",Bully, zona dimana kak plaza tengara iya ,Bully
"['babi', 'ngetap', 'doang']",NoBully, babi ngetap doang ,Bully
"['musnah', 'lo', 'bajingan', 'tolol', 'bego', 'monyet', 'bangsat', 'babi']",Bully, musnah lo bajingan tolol bego monyet bangsat babi ,Bully
"['lo', 'ngejek', 'banget', 'babi']",Bully, lo ngejek banget babi ,Bully
"['hai', 'kak', 'dimana', 'ya']",Bully, hai kak dimana ya ,Bully
['nuhuh'],Bully, nuhuh ,Bully
"['mamah', 'berantem', 'kaka', 'gara', 'gara', 'mamah', 'bilang', 'sabun', 'cuci', 'tuh', 'yang', 'ukuran', 'habis', 'kaka', 'gue', 'komporin', 'sepupu', 'mamah', 'bilang', 'kaka', 'gue', 'numpang', 'tidak', 'belin', 'sabun', 'wkwkwk', 'nyokap', 'gue', 'jantungnya', 'kumat', 'kaka', 'gue', 'kek', 'ngerasa', 'bersalah', 'gitu', 'tai']",Bully, mamah berantem kaka gara gara mamah bilang sabun cuci tuh yang ukuran habis kaka gue komporin sepupu mamah bilang kaka gue numpang tidak belin sabun wkwkwk nyokap gue jantungnya kumat kaka gue kek ngerasa bersalah gitu tai ,Bully
"['anjir', 'niat', 'ngerjain', 'peta', 'gabisa', 'reclasify', 'eror', 'babi']",Bully, anjir niat ngerjain peta gabisa reclasify eror babi ,Bully
"['kocak', 'emang']",Bully, kocak emang ,Bully
"['semangat', 'bang', 'dikit', 'lagi', 'lucu']",NoBully, semangat bang dikit lagi lucu ,Bully
"['makasih', 'lucu', 'babi', 'sih']",Bully, makasih lucu babi sih ,Bully
"['alah', 'pepek', 'lo', 'host', 'problematik', 'nya', 'parah', 'dari', 'play', 'victim', 'banget', 'babi']",Bully, alah pepek lo host problematik nya parah dari play victim banget babi ,Bully
